Description,Beat,Zip Code,Area,DVFlag,Firearm Used Flag
Stolen Property Offenses,144,64110,CPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
,312,64120,EPD,FALSE,FALSE
Shoplifting,535,64145,SPD,FALSE,FALSE
,421,64154,NPD,FALSE,FALSE
Aggravated Assault,341,64128,EPD,FALSE,TRUE
Murder,999,64114,OSPD,FALSE,TRUE
Motor Vehicle Theft,531,64137,SPD,FALSE,FALSE
Simple Assault,632,64117,SCP,TRUE,FALSE
Simple Assault,122,64127,CPD,FALSE,FALSE
Driving Under the Influence,133,64111,CPD,FALSE,FALSE
Motor Vehicle Theft,234,64114,MPD,FALSE,FALSE
Robbery,222,64130,MPD,FALSE,TRUE
Aggravated Assault,535,64147,SPD,FALSE,FALSE
Murder,212,,MPD,FALSE,TRUE
,211,64130,MPD,FALSE,FALSE
Robbery,112,64106,CPD,FALSE,FALSE
Motor Vehicle Theft,114,64108,CPD,FALSE,FALSE
Arson,313,64124,EPD,FALSE,FALSE
,133,64111,CPD,FALSE,FALSE
Murder,121,64124,CPD,FALSE,TRUE
Robbery,231,64113,MPD,FALSE,TRUE
Motor Vehicle Theft,224,,MPD,FALSE,FALSE
All Other Offenses,635,64117,SCP,FALSE,FALSE
Vandalism/Destruction of Property,644,64157,SCP,FALSE,FALSE
Vandalism/Destruction of Property,222,64130,MPD,FALSE,FALSE
Theft of Vehicle Parts and Accessories,411,64118,NPD,FALSE,FALSE
Theft of Vehicle Parts and Accessories,313,64124,EPD,FALSE,FALSE
Driving Under the Influence,542,64134,SPD,FALSE,FALSE
Simple Assault,233,64131,MPD,FALSE,FALSE
Shoplifting,132,64111,CPD,FALSE,FALSE
Counterfeiting / Forgery,113,64108,CPD,FALSE,FALSE
Theft From Building,142,64109,CPD,FALSE,FALSE
